"Name","State","Notes","User","Tags","Created","Runtime","Sweep","epoch","lr-AdamW","lr-AdamW/pg1","lr-AdamW/pg2","t_MAP","t_Mrr","t_p1","t_p5","test_acc_epoch","test_acc_step","test_loss_step","train_loss","trainer/global_step","v_MAP","v_Mrr","v_p1","v_p5","val_acc_epoch","val_acc_step","val_loss_step"
"outbert","finished","-","pedro696","","2021-06-18T08:24:58.000Z","24471","","2","8.43810648890389e-10","","","62.42292279202276","74.33176441240958","63.44086021505376","48.70967741935486","0.6597499847412109","0.675000011920929","0.2288949191570282","0.00247464282438159","","60.94793469195601","72.28041330598553","60.38562664329535","50.42068361086771","0.6355753540992737","0.6650000214576721","0.23090580105781555"
"basebert","finished","-","pedro696","","2021-06-18T08:23:49.000Z","20569","","2","8.43810648890389e-10","","","63.25669062219684","75.00900533158597","63.97849462365591","48.924731182795725","0.6639999747276306","0.6949999928474426","0.22534698247909543","0.005640918388962746","","61.287165769815566","73.04963408976029","61.70026292725679","50.333041191936935","0.643750011920929","0.6299999952316284","0.22654537856578827"
"inputbert","finished","-","pedro696","","2021-06-18T08:23:21.000Z","22989","","2","8.43810648890389e-10","","","63.2390945139168","74.99609410899731","62.903225806451616","48.70967741935484","0.6502500176429749","0.6800000071525574","0.23006229102611545","0.0013075845781713724","","62.526971057372464","74.38608430837452","63.10254163014899","50.81507449605608","0.6401489973068237","0.6600000262260437","0.23049809038639069"
"outbert","finished","-","pedro696","","2021-06-18T01:13:31.000Z","24399","","2","8.43810648890389e-10","","","60.660891942872816","72.32082530232434","59.13978494623656","48.06451612903228","0.6447499990463257","0.6549999713897705","0.2340242713689804","0.0050802635960280895","","61.00110000741634","73.02948664218572","61.78790534618756","49.74583698510082","0.6328849196434021","0.6549999713897705","0.2327648103237152"
"inputbert","finished","-","pedro696","","2021-06-18T01:12:59.000Z","22966","","2","8.43810648890389e-10","","","61.92988082575132","74.53213005632361","62.365591397849464","47.634408602150565","0.6464999914169312","0.6700000166893005","0.2321118116378784","0.014424496330320837","","60.30146591906147","70.96060114410075","58.282208588957054","49.491673970201674","0.6284354329109192","0.6700000166893005","0.23594722151756287"
"basebert","finished","-","pedro696","","2021-06-18T01:12:17.000Z","20373","","2","8.43810648890389e-10","","","62.4044863158106","74.92785589559783","62.903225806451616","49.032258064516135","0.6424999833106995","0.6399999856948853","0.2327888458967209","0.0010163282277062535","","60.78028243950061","72.49712125246656","60.122699386503065","49.19368974583706","0.6293874382972717","0.6700000166893005","0.2350330799818039"
"basebert","finished","-","pedro696","","2021-06-17T18:05:26.000Z","20577","","2","8.43810648890389e-10","","","61.91152462039342","76.16502225373193","65.05376344086021","47.95698924731184","0.6527500152587891","0.6600000262260437","0.2304844111204147","0.0014942530542612076","","60.656076828885055","71.2870997592895","59.33391761612621","49.833479404031586","0.6294494867324829","0.6499999761581421","0.23632892966270447"
"outbert","finished","-","pedro696","","2021-06-17T18:05:16.000Z","24217","","2","8.43810648890389e-10","","","60.989238721997765","72.3350559237656","58.602150537634415","47.3118279569893","0.6499999761581421","0.6650000214576721","0.23261933028697968","0.005564490333199501","","61.010332133500754","73.01774370840761","60.86765994741455","49.737072743207875","0.629718542098999","0.6549999713897705","0.2373938709497452"
"inputbert","finished","-","pedro696","","2021-06-17T18:03:57.000Z","23100","","2","8.43810648890389e-10","","","63.618450201940036","76.5280493103074","64.51612903225806","48.817204301075286","0.6422500014305115","0.6650000214576721","0.23146995902061465","0.014618474058806896","","61.234304172844745","72.43136199624144","60.64855390008764","50.008764241893175","0.6409768462181091","0.6499999761581421","0.23184199631214145"
"basebert","finished","-","pedro696","","2021-06-17T10:55:35.000Z","20361","","2","8.43810648890389e-10","","","62.53767462972952","74.96193695790471","61.82795698924731","49.03225806451616","0.640500009059906","0.625","0.23821082711219788","0.04761430621147156","","61.42626265620939","72.77275623582041","60.38562664329535","50.070113935144754","0.6402111053466797","0.675000011920929","0.23356369137763977"
"outbert","finished","-","pedro696","","2021-06-17T10:55:16.000Z","24300","","2","8.43810648890389e-10","","","61.237962270024106","72.84200118877537","60.215053763440864","47.52688172043012","0.656499981880188","0.6349999904632568","0.2327902913093567","0.0012840689159929752","","61.65727856414431","72.59757577727922","60.42944785276073","50.1314636283962","0.6386796236038208","0.6499999761581421","0.23301655054092407"
"inputbert","finished","-","pedro696","","2021-06-17T10:54:59.000Z","22890","","2","8.43810648890389e-10","","","61.68569417162675","72.59003839648999","58.602150537634415","47.74193548387099","0.6460000276565552","0.6499999761581421","0.23396854102611545","0.0011729550315067172","","61.15207790688216","73.06927958717382","61.70026292725679","49.605609114811685","0.6303808093070984","0.6899999976158142","0.23642440140247345"
"basebert","finished","-","pedro696","","2021-06-17T03:47:36.000Z","20389","","2","8.43810648890389e-10","","","60.12253593926391","71.52486051442408","59.13978494623656","46.88172043010756","0.6482499837875366","0.6399999856948853","0.2346360832452774","0.0023099021054804325","","60.965661173200466","72.86502905845474","61.13058720420683","50.07011393514461","0.6315190196037292","0.6850000023841858","0.23665094375610352"
"inputbert","finished","-","pedro696","","2021-06-17T03:47:01.000Z","22846","","2","8.43810648890389e-10","","","60.73985587247507","70.70911913653849","55.376344086021504","48.38709677419356","0.6414999961853027","0.6600000262260437","0.23561054468154907","0.003470987780019641","","61.72172156990396","72.34770448940483","60.07887817703769","50.60473269062229","0.6314569711685181","0.675000011920929","0.23861797153949735"
"outbert","finished","-","pedro696","","2021-06-17T03:46:58.000Z","24226","","2","8.43810648890389e-10","","","62.060421877595275","73.20026299865012","59.13978494623656","49.4623655913979","0.6567500233650208","0.6549999713897705","0.23087139427661896","0.00395970419049263","","61.18039333342536","73.13502558160056","60.73619631901841","50.04382120946541","0.6360927224159241","0.6600000262260437","0.23438787460327148"
"outbert","finished","-","pedro696","","2021-06-16T13:56:08.000Z","24263","","2","8.43810648890389e-10","","","61.56673080930033","74.49448251867608","61.29032258064516","48.27956989247316","0.6524999737739563","0.6499999761581421","0.2315906882286072","0.004284008406102657","","60.10977689702178","72.5461200400521","60.341805433829975","49.21121822962323","0.6335471868515015","0.6650000214576721","0.23477940261363983"
"inputbert","finished","-","pedro696","","2021-06-16T13:56:02.000Z","22749","","2","8.43810648890389e-10","","","62.5965133186567","76.39607704123831","65.05376344086021","47.74193548387101","0.6367499828338623","0.6600000262260437","0.2363130897283554","0.003851068904623389","","60.86372126632498","71.7421735644829","59.02716914986854","49.11481156879945","0.628228485584259","0.6499999761581421","0.23372459411621097"
"basebert","finished","-","pedro696","","2021-06-16T13:55:17.000Z","20450","","2","8.43810648890389e-10","","","62.64959220562807","73.48672981737498","59.67741935483871","48.70967741935486","0.6504999995231628","0.6800000071525574","0.22953300178050995","0.001892422093078494","","60.65119955826663","71.0431314031452","58.282208588957054","49.25503943908851","0.6332367658615112","0.6600000262260437","0.2313441038131714"